subject_id	subject_label	object_id	object_label	verdict	new_candidates	only_in_oak	only_in_ols	notes
MIM:Ethanol	Ethanol	CHEBI:16236	ethanol	SYNONYM_ENRICH	(non-methylated)|carbon source: ethanol|produces: ethanol|Ethanol absolute			
MIM:Ethanolamine	Ethanolamine	CHEBI:16000	ethanolamine	CONFIRMED				
MIM:Ethidium_Bromide	Ethidium Bromide	CHEBI:4883	ethidium bromide	CONFIRMED				
MIM:Ethionamide	Ethionamide	CHEBI:4885	ethionamide	CONFIRMED				
MIM:Ethyl_Acetate	ethyl acetate	CHEBI:27750	ethyl acetate	CONFIRMED				
MIM:Ethyl_Benzoate	Ethyl benzoate	CHEBI:156074	ethyl benzoate	CONFIRMED				
MIM:Ethyl_Decanoate	Ethyl decanoate	CHEBI:87430	ethyl decanoate	CONFIRMED				
MIM:Ethyl_Methyl_Sulfide	ethyl methyl sulfide	CHEBI:231886	ethyl methyl sulfide	CONFIRMED				
MIM:Ethylene_Glycol	Ethylene glycol	CHEBI:30742	ethylene glycol	CONFIRMED				
MIM:Ethylenediamine-NN-disuccinic_Acid	Ethylenediamine-N,N'-disuccinic acid	cas:20846-91-7	Ethylenediamine-N,N'-disuccinic acid	UNKNOWN_TERM				neither OAK nor OLS resolves cas:20846-91-7
MIM:Ethylenediamine_N_N_Prime_Disuccinic_Acid	Ethylenediamine N N Prime Disuccinic Acid	kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid	Ethylenediamine N N Prime Disuccinic Acid	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid
MIM:Ethylmalonic_Acid	Ethylmalonic acid	CHEBI:741548	ethylmalonic acid	CONFIRMED				
MIM:Eudesmic_Acid	Eudesmic Acid	CHEBI:454991	3,4,5-trimethoxybenzoic acid	CONFIRMED				
MIM:Eugenol	Eugenol	CHEBI:4917	eugenol	CONFIRMED				
MIM:Euphol	Euphol	CHEBI:4940	Euphol	CONFIRMED				
MIM:Eurocidin	Eurocidin	kgmicrobe.compound:eurocidin	Eurocidin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:eurocidin
