file	identifier	preferred_term	mapping_status	ontology_id	ontology_label	review_verdict	reviewer_notes
Lucimycin.yaml	CHEBI:135874	Lucimycin	PENDING_REVIEW	CHEBI:135874	lucimycin	PENDING	
Lysine.yaml	CHEBI:25094	Lysine	PENDING_REVIEW	CHEBI:25094	lysine	PENDING	
Lysocellin.yaml	CHEBI:212437	Lysocellin	PENDING_REVIEW	CHEBI:212437	Lysocellin	PENDING	
Macrolide_Antibiotic.yaml	CHEBI:25105	Macrolide Antibiotic	PENDING_REVIEW	CHEBI:25105	macrolide antibiotic	PENDING	
Magnesium(2).yaml	CHEBI:18420	Magnesium(2+)	PENDING_REVIEW	CHEBI:18420	magnesium(2+)	PENDING	
Malonamide.yaml	CHEBI:48537	Malonamide	PENDING_REVIEW	CHEBI:48537	malonamide	PENDING	
Maltotriose.yaml	CHEBI:61993	Maltotriose	PENDING_REVIEW	CHEBI:61993	maltotriose	PENDING	
Manganese.yaml	NCIT:C624	Manganese	PENDING_REVIEW	NCIT:C624	Manganese	PENDING	
Mannose.yaml	CHEBI:37684	Mannose	PENDING_REVIEW	CHEBI:37684	mannose	PENDING	
Marinostatin.yaml	CHEBI:221095	Marinostatin	PENDING_REVIEW	CHEBI:221095	Marinostatin	PENDING	
Melanin.yaml	CHEBI:89634	Melanin	PENDING_REVIEW	CHEBI:89634	Melanin	PENDING	
Melezitose.yaml	CHEBI:6731	Melezitose	PENDING_REVIEW	CHEBI:6731	melezitose	PENDING	
Menaquinone.yaml	CHEBI:16374	Menaquinone	PENDING_REVIEW	CHEBI:16374	menaquinone	PENDING	
Methacycline.yaml	CHEBI:6805	Methacycline	PENDING_REVIEW	CHEBI:6805	methacycline	PENDING	
Methicillin.yaml	CHEBI:6827	Methicillin	PENDING_REVIEW	CHEBI:6827	methicillin	PENDING	
