identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0344	data/ingredients/unmapped/Bovine_Horn_Meal.yaml	Bovine horn meal	UNKNOWN	Bovine horn meal|Bovine Horn Meal	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0345	data/ingredients/unmapped/Bovine_Serum.yaml	Bovine serum	UNKNOWN	Bovine serum	SYNONYM_EXACT	MICRO:0001709	micro	calf serum	bovine serum	true	calf serum|Bovine serum	medium	candidate_map_exact_synonym
UNMAPPED_0116	data/ingredients/unmapped/Brewer_Anaerobic_Agar.yaml	Brewer anaerobic agar	UNKNOWN	Brewer anaerobic agar|Brewer Anaerobic Agar	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0023	data/ingredients/unmapped/Bristol_Medium.yaml	Bristol Medium	COMPLEX_MIXTURE	Bristol Medium	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0348	data/ingredients/unmapped/Brucella_Broth.yaml	Brucella Broth	UNKNOWN	Brucella Broth	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0359	data/ingredients/unmapped/CMRL_1066.yaml	CMRL 1066	SIMPLE_CHEMICAL	CMRL 1066	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0049	data/ingredients/unmapped/Ca.yaml	Ca	UNKNOWN	Ca	SYNONYM_EXACT	CHEBI:22984	chebi	calcium atom	Ca	true	calcium atom|Ca	medium	candidate_map_exact_synonym
UNMAPPED_0049	data/ingredients/unmapped/Ca.yaml	Ca	UNKNOWN	Ca	SYNONYM_EXACT	FOODON:03470176	foodon	controlled atmosphere storage process	CA	true	controlled atmosphere storage process|Ca	medium	candidate_map_exact_synonym
UNMAPPED_0049	data/ingredients/unmapped/Ca.yaml	Ca	UNKNOWN	Ca	SYNONYM_EXACT	NCIT:C32374	ncit	Cornu Ammonis	CA	true	Cornu Ammonis|Ca	medium	candidate_map_exact_synonym
UNMAPPED_0049	data/ingredients/unmapped/Ca.yaml	Ca	UNKNOWN	Ca	SYNONYM_EXACT	NCIT:C43509	ncit	California	CA	true	California|Ca	medium	candidate_map_exact_synonym
UNMAPPED_0049	data/ingredients/unmapped/Ca.yaml	Ca	UNKNOWN	Ca	SYNONYM_EXACT	NCIT:C64488	ncit	Calcium Measurement	CA	true	Calcium Measurement|Ca	medium	candidate_map_exact_synonym
UNMAPPED_0021	data/ingredients/unmapped/Caco.yaml	CaCO	SIMPLE_CHEMICAL	CaCO3	SYNONYM_EXACT	CHEBI:3311	chebi	calcium carbonate	CaCO3	true	calcium carbonate|CaCO3|CaCO	medium	candidate_map_exact_synonym
