# source=ingredient_occurrences.tsv culturemech_rev=8c79a66fec edges=191616 recipes=15254 mim_records=800
mim_identifier	recipe_id	occurrences
CHEBI:131361	CultureMech:001643	1
CHEBI:131361	CultureMech:001644	1
CHEBI:131361	CultureMech:001649	1
CHEBI:131361	CultureMech:001651	1
CHEBI:131361	CultureMech:001654	1
CHEBI:131361	CultureMech:001658	1
CHEBI:131361	CultureMech:001661	1
CHEBI:131361	CultureMech:001664	1
CHEBI:131361	CultureMech:001673	1
CHEBI:131361	CultureMech:001691	1
CHEBI:131361	CultureMech:001692	1
CHEBI:131361	CultureMech:001693	1
CHEBI:131361	CultureMech:001694	1
CHEBI:131361	CultureMech:001696	1
CHEBI:131361	CultureMech:001705	1
CHEBI:131361	CultureMech:001724	1
CHEBI:131361	CultureMech:001738	1
CHEBI:131361	CultureMech:001740	1
CHEBI:131361	CultureMech:001742	1
CHEBI:131361	CultureMech:001743	1
CHEBI:131361	CultureMech:001769	1
CHEBI:131361	CultureMech:001779	1
CHEBI:131361	CultureMech:001780	1
CHEBI:131361	CultureMech:001785	1
CHEBI:131361	CultureMech:001786	1
CHEBI:131361	CultureMech:001801	1
CHEBI:131361	CultureMech:001802	1
CHEBI:131361	CultureMech:001803	1
CHEBI:131361	CultureMech:001808	1
CHEBI:131361	CultureMech:001812	1
CHEBI:131361	CultureMech:001817	1
CHEBI:131361	CultureMech:001820	1
CHEBI:131361	CultureMech:001821	1
CHEBI:131361	CultureMech:001822	1
CHEBI:131361	CultureMech:001824	1
CHEBI:131361	CultureMech:001827	1
CHEBI:131361	CultureMech:001828	1
CHEBI:131361	CultureMech:001829	1
CHEBI:131361	CultureMech:001839	1
CHEBI:131361	CultureMech:001840	1
CHEBI:131361	CultureMech:001844	1
CHEBI:131361	CultureMech:001845	1
CHEBI:131361	CultureMech:001854	1
CHEBI:131361	CultureMech:001855	1
CHEBI:131361	CultureMech:001856	1
CHEBI:131361	CultureMech:001859	1
CHEBI:131361	CultureMech:001862	1
CHEBI:131361	CultureMech:001863	1
CHEBI:131361	CultureMech:001865	1
CHEBI:131361	CultureMech:001866	1
CHEBI:131361	CultureMech:001868	1
CHEBI:131361	CultureMech:001869	1
CHEBI:131361	CultureMech:001870	1
CHEBI:131361	CultureMech:001871	1
CHEBI:131361	CultureMech:001874	1
CHEBI:131361	CultureMech:001875	1
CHEBI:131361	CultureMech:001876	1
CHEBI:131361	CultureMech:001877	1
CHEBI:131361	CultureMech:001883	1
CHEBI:131361	CultureMech:001894	1
CHEBI:131361	CultureMech:001897	1
CHEBI:131361	CultureMech:001899	1
CHEBI:131361	CultureMech:001903	1
CHEBI:131361	CultureMech:001905	1
CHEBI:131361	CultureMech:001911	1
CHEBI:131361	CultureMech:001912	1
CHEBI:131361	CultureMech:001913	1
CHEBI:131361	CultureMech:001919	1
CHEBI:131361	CultureMech:001923	1
CHEBI:131361	CultureMech:001924	1
CHEBI:131361	CultureMech:001936	1
CHEBI:131361	CultureMech:001937	1
CHEBI:131361	CultureMech:001938	1
CHEBI:131361	CultureMech:001939	1
CHEBI:131361	CultureMech:001940	1
CHEBI:131361	CultureMech:001950	1
CHEBI:131361	CultureMech:001960	1
CHEBI:131361	CultureMech:001961	1
CHEBI:131361	CultureMech:001963	1
CHEBI:131361	CultureMech:001966	1
CHEBI:131361	CultureMech:001972	1
CHEBI:131361	CultureMech:001973	1
CHEBI:131361	CultureMech:001974	1
CHEBI:131361	CultureMech:001975	1
CHEBI:131361	CultureMech:001978	1
CHEBI:131361	CultureMech:001980	1
CHEBI:131361	CultureMech:001981	1
CHEBI:131361	CultureMech:001982	1
CHEBI:131361	CultureMech:001991	1
CHEBI:131361	CultureMech:001994	1
CHEBI:131361	CultureMech:001995	1
CHEBI:131361	CultureMech:001998	1
CHEBI:131361	CultureMech:001999	1
CHEBI:131361	CultureMech:002002	1
CHEBI:131361	CultureMech:002003	1
CHEBI:131361	CultureMech:002010	1
CHEBI:131361	CultureMech:002011	1
CHEBI:131361	CultureMech:002012	1
CHEBI:131361	CultureMech:002013	1
