subject_id	subject_label	object_id	object_label	new_candidates	ingredient_yaml	review_status	missing_candidates_after_review	review_notes
MIM:Anthranilamide	anthranilamide	CHEBI:193638	2-Aminobenzamide	anthranilamide	data/ingredients/mapped/Anthranilamide.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Apigenin_Dimethyl_Ether	Apigenin Dimethyl Ether	CHEBI:28887	dimethyl ether	Apigenin Dimethyl Ether	data/ingredients/mapped/Apigenin_Dimethyl_Ether.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Apramycin_Sulfate_Salt	Apramycin sulfate salt	CHEBI:190734	Apramycin sulfate	Apramycin sulfate salt	data/ingredients/mapped/Apramycin_Sulfate_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arabinan_From_Sugar_Beet	Arabinan from Sugar Beet	FOODON:00003412	sugar beet	Arabinan from Sugar Beet	data/ingredients/mapped/Arabinan_From_Sugar_Beet.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arabinotriose	Arabinotriose	CHEBI:62799	alpha-L-Araf-(1->5)-alpha-L-Araf-(1->5)-alpha-L-Araf	Arabinotriose	data/ingredients/mapped/Arabinotriose.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arabinoxylan_~28Rye_Flour~29	Arabinoxylan (Rye Flour)	FOODON:03302492	rye flour	Arabinoxylan (Rye Flour)|autoclaved	data/ingredients/mapped/Arabinoxylan_(Rye_Flour).yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arabitol	Arabitol	CHEBI:18403	L-arabinitol	Arabitol|L-arabitol (L-arabinitol)	data/ingredients/mapped/Arabitol.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arginine	Arginine	CHEBI:16467	L-arginine	2-Amino-5-guanidinovaleric acid|2-amino-5-(carbamimidamido)pentanoic acid|2-amino-5-guanidinopentanoic acid|Arginin|Harg	data/ingredients/mapped/Arginine.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Aromatic_Hydrocarbon	Aromatic hydrocarbon	CHEBI:33848	polycyclic arene	Aromatic hydrocarbon	data/ingredients/mapped/Aromatic_Hydrocarbon.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Arsenate	Arsenate	CHEBI:29125	arsenate(3-)	(after autoclaving)|dihydrogen arsenite|reduction: arsenate detoxification	data/ingredients/mapped/Arsenate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Asparagine	Asparagine	CHEBI:50347	L-asparagine residue	2,4-diamino-4-oxobutanoic acid|2-amino-3-carbamoylpropanoic acid|Asparagin|DL-Asparagine|Hasp|asparagina|DL-Asparagine x H2O	data/ingredients/mapped/Asparagine.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Atorvastatin_Calcium_Salt_Trihydrate	Atorvastatin calcium salt trihydrate	CHEBI:2911	atorvastatin calcium trihydrate	Atorvastatin calcium salt trihydrate	data/ingredients/mapped/Atorvastatin_Calcium_Salt_Trihydrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:B-Glucan_From_Oat	b-Glucan from Oat	CHEBI:28793	beta-D-glucan	b-Glucan from Oat	data/ingredients/mapped/B-Glucan_From_Oat.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Bacto_Soytone	Bacto Soytone	CHEBI:8150	None	Bacto Soytone|Soytone	data/ingredients/mapped/Bacto_Soytone.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Bathocuproine_Disulfonic_Acid_Disodium_Salt	Bathocuproine disulfonic acid disodium salt	CHEBI:63934	bathocuproine disulfonic acid	Bathocuproine disulfonic acid disodium salt	data/ingredients/mapped/Bathocuproine_Disulfonic_Acid_Disodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Bathophenanthrolinedisulfonic_Acid_Disodium_Salt_Hydrate	Bathophenanthrolinedisulfonic acid disodium salt hydrate	CHEBI:78157	disodium 4,7-diphenyl-1,10-phenanthroline 4',4''-disulfonate	Bathophenanthrolinedisulfonic acid disodium salt hydrate	data/ingredients/mapped/Bathophenanthrolinedisulfonic_Acid_Disodium_Salt_Hydrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Beef_Brain_Powder	Beef brain powder	FOODON:02020911	beef brain	Beef brain powder	data/ingredients/mapped/Beef_Brain_Powder.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
