source_record	record_sha256	identifier	preferred_term	mapping_status	disposition	basis
data/ingredients/mapped/24-Dichlorophenoxyacetic_acid.yaml	626b17319614b1a626558a69fe1a6a8f594434d41b0b45cb8e8ec7837a0c5de8	CHEBI:28854	2,4-Dichlorophenoxyacetic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/24-Dihydroxybenzoic_acid.yaml	ebe160a8769dbcd699deba9ac4c6d2d13c3b0ec16cadc9959c9d26aba0a3807a	CHEBI:42094	2,4-Dihydroxybenzoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/24-Dinitrophenol.yaml	e62ffbad86917b136ff73f860776187efb823180acec8a6c46f4957dbbab03a7	CHEBI:42017	2,4-Dinitrophenol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/24-diamino-67-di-iso-propylpteridine_phosphate.yaml	b3b4232dc560571960f15affe792bafdd0bca88866f212ade3de5beab8377108	kgmicrobe.compound:24-diamino-67-di-iso-propylpteridine_phosphate	2,4-diamino-6,7-di-iso-propylpteridine phosphate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/25-Dihydroxy-4-Methoxychalcone.yaml	11d284925fccfb01785579504d0b4fb91898a18fbb3b4dfb2378ab68c2fc07f2	cas:6342-92-3	2',5'-Dihydroxy-4-Methoxychalcone	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Aminophenol.yaml	bc859b3b7215f16b0c7e3935bddc83a6f633f77a8ad6643e80e97ef472fa6e48	CHEBI:28924	3-Aminophenol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Aminopropionitrile_Fumarate.yaml	9d39b71c60b8ab0c06ab75ae033e48ae01257ee34ea13453f8d2912ae59a0f33	CHEBI:91084	3-Aminopropionitrile Fumarate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Chloro-4-hydroxyphenylacetic_acid.yaml	6e568ac11c2af7524596358b179cf2ceb65470c5e79b70757fed884af49c3272	CHEBI:47106	3-Chloro-4-hydroxyphenylacetic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Chloro-L-tyrosine.yaml	9068e77f796c9714234627754561ef54188cdbd0d80fe3ef5d964093e1da6dc3	CHEBI:53678	3-Chloro-L-tyrosine	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Chloroacrylic_acid.yaml	d1588f04a69c0df8eb15c181bbcdb92aad4620ba5286d956870d1025ec65c1cc	CHEBI:19982	3-Chloroacrylic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Hydroxydecanoic_Acid.yaml	870a86016f35d2178eb860642ace265c3ca2f2fc604d1644932a4bf2993e0435	CHEBI:132983	3-Hydroxydecanoic acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/3-Hydroxyhexanoic_Acid.yaml	45715ae5475ccaeb64800f0aade7b3795061991d109d6fa00febcca5dc23fe2e	CHEBI:37035	3-Hydroxyhexanoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
