placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.pathway:aromatic_compound_degradation	biolink:BiologicalProcess	aromatic_compound_degradation	faprotax:type_of_metabolism	516
kgmicrobe.trait:dextrin	biolink:PhenotypicQuality	dextrin	BacDive_Metabolite_utilization	513
kgmicrobe.trait:thermophilic_45_c	biolink:PhenotypicQuality	#Thermophilic (>45°C)	BacDive_Isolation_category_2	508
kgmicrobe.trait:other	biolink:PhenotypicQuality	#Other	BacDive_Cell_shape|BacDive_Isolation_category_2	506
kgmicrobe.trait:tetracycline	biolink:PhenotypicQuality	tetracycline	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	503
kgmicrobe.pathway:respiration_of_sulfur_compounds	biolink:BiologicalProcess	respiration_of_sulfur_compounds	faprotax:type_of_metabolism	502
kgmicrobe.trait:lake_large	biolink:PhenotypicQuality	#Lake (large)	BacDive_Isolation_category_3	498
kgmicrobe.trait:1_2_days	biolink:PhenotypicQuality	1-2 days	BacDive_Incubation_period	497
kgmicrobe.trait:patient	biolink:PhenotypicQuality	#Patient	BacDive_Isolation_category_2	482
kgmicrobe.trait:fluids	biolink:PhenotypicQuality	#Fluids	BacDive_Isolation_category_2	478
kgmicrobe.pathway:nitrogen_fixation	biolink:BiologicalProcess	nitrogen_fixation	faprotax:type_of_metabolism	477
kgmicrobe.trait:10_37	biolink:PhenotypicQuality	10-37	BacDive_Temperature_for_growth	476
kgmicrobe.trait:5	biolink:PhenotypicQuality	5	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	474
kgmicrobe.trait:adipate	biolink:PhenotypicQuality	adipate	BacDive_Metabolite_utilization	466
kgmicrobe.trait:glutamate	biolink:PhenotypicQuality	glutamate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	465
kgmicrobe.trait:15_37	biolink:PhenotypicQuality	15-37	BacDive_Temperature_for_growth	460
kgmicrobe.trait:oral_cavity_and_airways	biolink:PhenotypicQuality	#Oral cavity and airways	BacDive_Isolation_category_2	455
kgmicrobe.pathway:nitrogen_respiration	biolink:BiologicalProcess	nitrogen_respiration	faprotax:type_of_metabolism	453
kgmicrobe.trait:polar	biolink:PhenotypicQuality	polar	BacDive_Flagellum_arrangement|BacDive_Isolation_category_3	445
kgmicrobe.pathway:nitrate_respiration	biolink:BiologicalProcess	nitrate_respiration	faprotax:type_of_metabolism	441
kgmicrobe.trait:1_2	biolink:PhenotypicQuality	1-2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	437
kgmicrobe.trait:industrial	biolink:PhenotypicQuality	#Industrial	BacDive_Isolation_category_2	433
kgmicrobe.trait:trehalose	biolink:PhenotypicQuality	trehalose	BacDive_Metabolite_utilization	432
kgmicrobe.trait:aspartate	biolink:PhenotypicQuality	aspartate	BacDive_Metabolite_utilization	431
kgmicrobe.trait:invertebrates_other	biolink:PhenotypicQuality	#Invertebrates (Other)	BacDive_Isolation_category_2	427
kgmicrobe.trait:cellulose	biolink:PhenotypicQuality	cellulose	BacDive_Metabolite_production|BacDive_Metabolite_utilization	425
